371,CRNA SJAJ FUNDER    ,19000,1880000,600000
372,BIJELI GOD FUNDER   ,19000,2820000,501500
373,Bor Cottage K4347AT ,19000,1961000,700000
374,0504PO Mahagonij    ,19000,2820000,510000
375,Jasen Nord K4343NM  ,19000,2800000,450000
376,0504PO Mahagonij    ,19000,2820000,490000
377,SLON SJAJ FUNDER    ,19000,2800000,750000
378,0504PO Mahagonij    ,19000,2160000,890000
379,CRVENA SJAJ 2701    ,19000,2070000,900000
380,Hr Alp Kamen K4326AW,19000,2800000,650500
381,Hr Kristal 34217RV  ,19000,2800000,400000
382,SIVA TAMNA 2162     ,19000,2800000,600000
383,JASEN COIMBRA 37777 ,19000,2800000,480000
384,Hr Alp Kamen K4326AW,19000,2573500,759000
385,Bor Kodiak 34308AT  ,19000,2800000,580000
386,BIJELI SJAJ 17005G  ,19000,2800000,860000
387,HRAST 34139 PJESCANI,19000,2800000,540000
388,ZELENA MAMBA 27190  ,19000,2070000,890000
389,BIJELI NK 1500P     ,16000,2800000,650000
390,HRAST SVJETLI  37307,19000,2250000,640000
392,SLONOVACA 2514      ,19000,1780000,510000
393,HRAST NATUR GR 37511,19000,2800000,1153500
394,HRAST CLASSIC 34140 ,19000,2800000,730000
395,0080MR Crni god     ,19000,1840000,580000
396,BIJELI 1615 FH FUND ,19000,2070000,820000
397,CHILI CRVENA 27113  ,19000,1560000,1080000
399,SLON SJAJ FUNDER    ,19000,2800000,550000
400,Hem Barrique 34034SV,19000,2800000,520000
401,JASEN COIMBRA 37777 ,19000,2290000,560000
402,DIJAMANT GOD 1570SU ,19000,2180000,560000
403,BIJELI NK 1500P     ,19000,2188500,425000
404,SAVANA SMEDI 727SU  ,19000,2800000,1140000
405,Bor Kodiak 34308AT  ,19000,2800000,950000
406,AMBALAZA            ,19000,2800000,700500
407,Hr Alp Kamen K4326AW,19000,1962000,685500
408,0085SG Sjaj Bijela  ,19000,2800000,1220000
409,HEMLOCK N 34032SV   ,19000,2800000,730000
410,Basalt 2166PE       ,19000,2800000,630000
411,Bor Kodiak 34308AT  ,19000,2800000,740000
412,Hr Tabbacco K4334AW ,19000,2800000,720000
413,BUKVA 3876          ,19000,1460000,520000
414,HRAST PLATIN 37728  ,19000,2800000,950000
415,Limun Zeleni 25519BS,19000,2070000,870000
416,SVJETLO SIVI 2112   ,19000,2260000,490000
417,BIJELI SJAJ 17005G  ,19000,2050000,1400000
418,WENGE ZANZIBAR 37651,19000,1780500,522000
419,Cobalt 26299BS      ,19000,2135500,545000
420,0650SG Sjaj Limun   ,19000,2390000,1220000
421,HRAST MOCV 37717 AT ,19000,2800000,1151000
422,HRAST 34139 PJESCANI,19000,2800000,1200000
423,Jasen Nord K4343NM  ,19000,2800000,450000
424,BRIJEST LAVA 34055  ,19000,2800000,1400000
425,Basalt 2166PE       ,19000,2060000,820000
